Sexo,Edad,Colegio,Ciudad/Cantón,Tiempo libre,Uso de equipos para ver contenido audiovisual,Importancia propia,Compras,Importancia de relaciones sociales,Cratividad ,Vida diaria en redes sociales,R Social mas usada,Por qué la preferencai ,Dispositivo E usado,Info (de que manera buscas),Marca o nombre que se te venga a la cabeza (Video),Marca o nombre que se te venga a la cabeza (musica),Marca o nombre que se te venga a la cabeza (informarte),Marca o nombre que se te venga a la cabeza (entretenimiento),Edad (1 dispositivo electronico),Palabra trabajo ,Al terminar el colegio ,Tener primer trabajo ,Prefeririras ser ,Permanencia en primer trabajo,Aspiraciones salariales,Incentivo de producto (Exclusivo),Incentivo de producto (Reciclado),Incentivo de producto (Aporte al medio ambiente),Incentivo de producto (personalizado),Incentivo de producto (Económico),Pensamiento (A-D),Vinculas éxito personal,Cuanto gastas en un antojo ,Mencion en tus redes sociales ,Puedes llegar a un publico especifico en una red social ,Acpertar difundir contenido en una RS,Demostracion de un producto en publico ,"Informacion de los influencers, piensas:","Toma de decisión, consideras a los influencers ",Que contenido prefieres ver en influencers ,Influencers nacionales,Influencers Nacionales ,Influencers internacionales ,Influencers Internacionales ,Cómo te ves en 10 años ,Estas de acuerdo con: Aborto ,Matrimonio igualitario,Eutanasia,La pena de muerte ,Donación de órganos ,El matrimonio para toda la vida ,La enseñanza religiosa en las escuelas 
Masculino,15,Espiritu Santo ,Guayaquil ,Ejercicios,Televisón,Salud mental,Indiferente,Acuerdo,7,Muy necesarias ,Instagram ,Popularidad,Celular ,Buscador,Netflix,Spotify,Instagram ,Instagram ,17,Libertad,Solo trabajar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,Menos de 6 meses ,De $451 a $550,2,1,3,4,5,Es muy importante ahorrar,Al reconocimiento social ,$1 - $5,Seguro que sí,Si ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Es verdad,importante,deporte ,Los Trix ,Logan y Logan ,German,Kimberly Loaiza ,viajando por el mundo ,Imparcial ,No estoy de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,Imparcial ,Imparcial
Masculino,15,San Jose La Salle ,Guayaquil ,Otros ,Computadora,Salud mental,Total desacuerdo,Total desacuerdo,10,Imprescindibles ,Facebook,Facilidad de uso,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Spotify,Google,Facebook,12,Dinero,Solo estudiar ,Apenas esté graduado/a del colegio,Un emprendedor ,Menos de 6 meses ,De $386 a $450,2,3,4,1,4,definitivamente no es importante ahorrar,A logros personales ,$1 - $5,Seguro que sí,Si ,No estaría dispuesto,Por el producto y mostrar la imagen personal,Poco creíble,importante,deporte ,Gustavo Salinas ,Jose Gabriel ,Alex Mirton,Sebastian Villalobos ,viajando por el mundo ,Muy de acuerdo ,Imparcial ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Poco de acuerdo ,Imparcial
Femenino,15,Ficoa de Montalvo ,Guayaquil ,RR.SS.,Celular,Actitud,Indiferente,Total acuerdo,8,Poco necesarias,Facebook,Distracción,Celular ,Buscador,Youtube ,Youtube ,Youtube ,Youtube ,12,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,De $451 a $550,1,2,3,4,5,Es muy importante ahorrar,A logros académicos ,$10.01 - $20,Seguro que sí,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Poco creíble,importante,moda ,Enfrain Ruales,Felipe Crespo ,Luisito Comunica ,Juan de Dios Pantoja,trabajando para ser un buen profesional,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,De acuerdo
Masculino,15,Vicente Rocafuerte ,Guayaquil ,RR.SS.,Celular,Estado físico,Indiferente,Total acuerdo,8,Necesarias,Facebook,Privacidad,Laptop,Enciclopedias Virtuales,Youtube ,Youtube ,Google,Facebook,12,Vocación ,Ambas,de 1 a 2 años despues de haberme graduado,Un emprendedor ,De año y medio a 2 años ,Más de $550,3,2,1,5,4,Es importante pero hay que pensar también en el presente,A logros académicos ,$5.01 - $10 ,Probablemente no ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Es verdad,Poco importante ,deporte ,Abdala ,Anthony Swag ,Ivan Tapia ,Alex Mirton,trabajando para ser un buen profesional,Imparcial ,Imparcial ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,De acuerdo
Masculino,15,Unidad Educativa Jefferson ,Guayaquil ,internet,Televisón,Estado físico,Indiferente,Indiferente,8,Necesarias,Facebook,Distracción,Ipad/tablet,Video,Google ,Youtube ,Google,Netflix ,15,Dinero,Solo estudiar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,Más de $550,3,2,4,1,5,Es muy importante ahorrar,A logros personales ,$5.01 - $10 ,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,Tecnología,Felipe Crespo ,Logan y Logan ,Luisito Comunica ,German,viajando por el mundo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Imparcial
Femenino,15,Americano,Guayaquil ,Ejercicios,Celular,Conocimientos,Acuerdo,Acuerdo,8,Necesarias,Instagram ,Distracción,Celular ,Buscador,Youtube ,Spotify,Noticias ,Google,11,Desarrollo de conocimiento ,Solo estudiar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,De $386 a $450,2,5,4,3,1,Es muy importante ahorrar,A logros personales ,$1 - $5,Probablemente si ,Si ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Lo tomas en consideración ,importante,moda ,Geniodemente,Quecomersambo,Aimee Sang,Chai Ferragni,haciendo estudios de posgrado ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,De acuerdo
Masculino,15,Intersudamericano,Guayaquil ,Otros ,Celular,Conocimientos,Indiferente,Total acuerdo,10,Muy necesarias ,Instagram ,Popularidad,Celular ,Redes Sociales,Youtube ,Spotify,Twitter,Facebook,7,Otra palabra,Ninguna ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,Más de $550,1,4,5,1,3,Es muy importante ahorrar,Al factor económico ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Lo tomas en consideración ,muy importante ,moda ,Geniodemente,Anthony Swag ,Luisito Comunica ,Alex Mirton,ninguna ,Muy de acuerdo ,No estoy de acuerdo ,Imparcial ,De acuerdo,Muy de acuerdo ,Muy de acuerdo ,Imparcial
Masculino,15,Vicente Rocafuerte ,Guayaquil ,internet,Computadora,Conocimientos,Acuerdo,Indiferente,6,Necesarias,Twitter,Distracción,Laptop,Enciclopedias Virtuales,Youtube ,Youtube ,Noticias ,Youtube ,13,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,2,2,3,4,1,Es muy importante ahorrar,Al reconocimiento social ,$5.01 - $10 ,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y algo de dinero ,Poco creíble,Poco importante ,Tecnología,Samara montero ,Enfrain Ruales,Kimberly Loaiza ,Aimee Sang,trabajando para ser un buen profesional,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,Imparcial ,Imparcial ,Muy de acuerdo ,De acuerdo
Femenino,15,Liceo Panamericano,Samborondon,Cine,Celular,Salud mental,Total acuerdo,Acuerdo,9,Muy necesarias ,Instagram ,Popularidad,Celular ,Enciclopedias Virtuales,Youtube ,Spotify,Google,Netflix ,12,Desarrollo de conocimiento ,Solo estudiar ,Al pasar más de 3 años de haberme graduado,Un empleado en una empresa familiar,De año y medio a 2 años ,Más de $550,1,3,3,3,5,Es importante pero hay que pensar también en el presente,Al factor económico ,$20.01 - $30,Seguro que sí,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Es verdad,importante,moda ,Enfrain Ruales,Geniodemente,Luisito Comunica ,Sebastian Villalobos ,con una familia establecida,De acuerdo,Imparcial ,Imparcial ,De acuerdo,De acuerdo,Muy de acuerdo ,De acuerdo
Masculino,15,Cenest Harvard ,Guayaquil ,internet,Computadora,Habilidades,Desacuerdo,Indiferente,5,Muy necesarias ,Facebook,Popularidad,Celular ,Redes Sociales,Youtube ,Youtube ,Facebook,Facebook,15,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,2,2,2,2,1,Es muy importante ahorrar,Al reconocimiento social ,$1 - $5,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,viajes,Samara montero ,Geniodemente,Yuya ,Pautips ,trabajando para ser un buen profesional,Poco de acuerdo ,Imparcial ,Poco de acuerdo ,Imparcial ,De acuerdo,De acuerdo,Imparcial
Masculino,16,Torremar ,Samborondon,RR.SS.,Computadora,Estado físico,Total acuerdo,Total acuerdo,3,Imprescindibles ,Instagram ,Distracción,Celular ,Buscador,Youtube ,Spotify,Google,Instagram ,15,Desarrollo de conocimiento ,Ambas,De 2 a 3 años después de haberme graduado,Un emprendedor ,De 6 meses a un año ,Más de $550,5,2,3,4,5,No es importante porque hay que hacer compras necesarias en el presente,Al factor económico ,$20.01 - $30,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,muy importante ,moda ,Quecomersambo,Abdala ,Yuya ,Alex Mirton,con una familia establecida,Muy de acuerdo ,Muy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Imparcial
Masculino,16,Vicente Rocafuerte ,Guayaquil ,internet,Celular,Habilidades,Desacuerdo,Desacuerdo ,7,Muy necesarias ,Facebook,Distracción,Celular ,Video,Youtube ,Spotify,Noticias ,Instagram ,12,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un empleado en empresa multinacional ,Más de 2 años,El total del salario basico ,1,4,4,4,1,Es muy importante ahorrar,A logros académicos ,$20.01 - $30,Probablemente si ,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Poco creíble,Poco importante ,deporte ,Flor Maria Palomeque ,Enfrain Ruales,Luisito Comunica ,Kimberly Loaiza ,trabajando para ser un buen profesional,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,No estoy de acuerdo 
Masculino,16,Santo Domingo de Guzmán,Guayaquil ,RR.SS.,Televisón,Habilidades,Indiferente,Indiferente,5,Poco necesarias,Facebook,Facilidad de uso,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Spotify,Facebook,Facebook,13,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De año y medio a 2 años ,Menos que el salario básico unificado ,2,3,4,2,1,Es muy importante ahorrar,A logros personales ,$20.01 - $30,Probablemente no ,No ,No estaría dispuesto,No lo haría,Poco creíble,Poco importante ,deporte ,Gabriela Pazmiño ,Geniodemente,Juan de Dios Pantoja,Yuya ,trabajando para ser un buen profesional,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Imparcial
Masculino,16,Santo Domingo de Guzmán,Guayaquil ,Cine,Celular,Habilidades,Indiferente,Acuerdo,5,Muy necesarias ,Facebook,Popularidad,Laptop,Redes Sociales,Youtube ,Spotify,Facebook,Netflix ,11,Desarrollo de conocimiento ,Solo estudiar ,de 1 a 2 años despues de haberme graduado,Un empleado en una empresa familiar,De 6 meses a un año ,El total del salario basico ,1,4,3,3,2,Es muy importante ahorrar,Al reconocimiento social ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,Tecnología,Geniodemente,Anthony Swag ,Aimee Sang,Luisito Comunica ,con una familia establecida,Poco de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,Imparcial ,De acuerdo,De acuerdo
Femenino,16,Inmaculada,Guayaquil ,RR.SS.,Celular,Conocimientos,Indiferente,Acuerdo,7,Necesarias,Facebook,Distracción,Celular ,Redes Sociales,Facebook,Youtube ,Noticias ,Instagram ,14,Desarrollo de conocimiento ,Ambas,De 6 meses a un año de haberme graduado ,Un emprendedor ,Menos de 6 meses ,El total del salario basico ,1,3,3,1,2,Es muy importante ahorrar,A logros académicos ,$20.01 - $30,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,importante,deporte ,Enfrain Ruales,Los Trix ,Ivan Tapia ,Chai Ferragni,trabajando para ser un buen profesional,Poco de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,De acuerdo,Imparcial
Femenino,16,La Moderna ,Samborondon,Lectura,Celular,Estado físico,Indiferente,Acuerdo,10,Muy necesarias ,Instagram ,Privacidad,Celular ,Buscador,Google ,Youtube ,Google,Netflix ,10,Obligación ,Solo estudiar ,Apenas esté graduado/a del colegio,Un empleado en una empresa familiar,De 6 meses a un año ,De $386 a $450,1,4,3,5,2,Es muy importante ahorrar,A logros académicos ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Poco creíble,Poco importante ,moda ,Logan y Logan ,Anthony Swag ,Kimberly Loaiza ,Yuya ,viajando por el mundo ,Imparcial ,Poco de acuerdo ,De acuerdo,Muy de acuerdo ,Muy de acuerdo ,Imparcial ,Imparcial
Femenino,16,Inmaculada,Guayaquil ,internet,Televisón,Salud mental,Acuerdo,Acuerdo,9,Muy necesarias ,Instagram ,Otros ,smart tv,Buscador,Youtube ,Youtube ,Google,Netflix ,15,Libertad,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,1,3,5,2,4,definitivamente no es importante ahorrar,A logros personales ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,importante,Tecnología,Gustavo Salinas ,Jose Gabriel ,Yuya ,Aimee Sang,viajando por el mundo ,No estoy de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,De acuerdo,De acuerdo,De acuerdo
Femenino,16,Jamie Roldos ,Guayaquil ,internet,Televisón,Salud mental,Indiferente,Acuerdo,9,Necesarias,Instagram ,Privacidad,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Youtube ,Periodicos ,Ver television ,13,Desarrollo de conocimiento ,Ambas,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,Más de $550,5,2,1,4,3,Es muy importante ahorrar,A logros académicos ,$5.01 - $10 ,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,muy importante ,Tecnología,Gustavo Salinas ,Jose Gabriel ,Ivan Tapia ,Alex Mirton,viajando por el mundo ,No estoy de acuerdo ,Imparcial ,Imparcial ,Imparcial ,Imparcial ,Imparcial ,Imparcial
Masculino,16,Academia Naval de Guayaquil,Guayaquil ,Ejercicios,Computadora,Salud mental,Acuerdo,Indiferente,7,Necesarias,Facebook,Otros ,Celular ,Buscador,Netflix,Spotify,Google,Facebook,12,Estatus y poder,Solo trabajar ,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,De $451 a $550,2,5,4,1,3,definitivamente no es importante ahorrar,Al reconocimiento social ,$10.01 - $20,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Lo tomas en consideración ,importante,viajes,Geniodemente,Felipe Crespo ,Luisito Comunica ,Yuya ,viajando por el mundo ,Imparcial ,Imparcial ,De acuerdo,Muy de acuerdo ,De acuerdo,De acuerdo,Imparcial
Femenino,16,Intersudamericano,Guayaquil ,Cine,Computadora,Estado físico,Acuerdo,Acuerdo,7,Muy necesarias ,Facebook,Facilidad de uso,Celular ,Buscador,Youtube ,Youtube ,Noticias ,Netflix ,9,Estatus y poder,Solo estudiar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De un año a año y medio ,Más de $550,1,3,5,2,3,Es importante pero hay que pensar también en el presente,A logros académicos ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Es verdad,muy importante ,moda ,Anthony Swag ,Los Trix ,Yuya ,Sofia Castro ,con una familia establecida,Imparcial ,Imparcial ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,De acuerdo,Imparcial
Masculino,16,Colegio Patria ,Guayaquil ,Cine,Televisón,Estado físico,Desacuerdo,Total acuerdo,6,Muy necesarias ,Snapchat,Facilidad de uso,Celular ,Buscador,Youtube ,Youtube ,Google,Facebook,14,Obligación ,Solo trabajar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,De $451 a $550,2,3,5,4,1,Es muy importante ahorrar,Al reconocimiento social ,$1 - $5,Probablemente no ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Es verdad,Poco importante ,Tecnología,Correa ,Enfrain Ruales,Luisito Comunica ,Ivan Tapia ,haciendo estudios de posgrado ,De acuerdo,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,De acuerdo,Imparcial ,No estoy de acuerdo 
Masculino,16,Fe y Alegria ,Guayaquil ,RR.SS.,Celular,Conocimientos,Acuerdo,Desacuerdo ,6,Muy necesarias ,Facebook,Popularidad,Celular ,Buscador,Netflix,Spotify,Instagram ,Youtube ,9,Obligación ,Solo trabajar ,Al pasar más de 3 años de haberme graduado,Un empleado en una empresa local,De año y medio a 2 años ,De $386 a $450,1,4,3,5,2,Es importante pero hay que pensar también en el presente,Al factor económico ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Poco creíble,Poco importante ,comida,Quecomersambo,Los Trix ,Luisito Comunica ,Kimberly Loaiza ,con una familia establecida,Imparcial ,Imparcial ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,De acuerdo,Imparcial
Masculino,16,Adolfo H. Simmonds ,Guayaquil ,internet,Computadora,Estado físico,Desacuerdo,Acuerdo,7,Necesarias,Facebook,Facilidad de uso,Celular ,Video,Youtube ,Youtube ,Facebook,Netflix ,17,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,Más de $550,2,4,3,5,1,Es muy importante ahorrar,Al factor económico ,$5.01 - $10 ,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,muy importante ,deporte ,Gustavo Salinas ,Correa ,Alex Mirton,German,viajando por el mundo ,Imparcial ,De acuerdo,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Imparcial
Masculino,16,Colegio Patria ,Guayaquil ,Cine,Celular,Apariencia física,Indiferente,Total acuerdo,7,Muy necesarias ,Instagram ,Privacidad,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Spotify,Youtube ,Netflix ,13,Dinero,Solo trabajar ,De 2 a 3 años después de haberme graduado,Un empleado en una empresa familiar,De 6 meses a un año ,Más de $550,1,3,4,2,5,No es importante porque hay que hacer compras necesarias en el presente,A logros académicos ,$1 - $5,Seguro que no ,No ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Es verdad,muy importante ,moda ,Geniodemente,Samara montero ,Alex Mirton,Sebastian Villalobos ,haciendo estudios de posgrado ,De acuerdo,Imparcial ,Muy de acuerdo ,De acuerdo,Imparcial ,De acuerdo,De acuerdo
Masculino,16,Colegio Ismael Perez Pazmiño,Guayaquil ,Lectura,Televisón,Actitud,Indiferente,Acuerdo,10,Muy necesarias ,Instagram ,Privacidad,Laptop,Bibliotecas virtuales / repositorios,Youtube ,Youtube ,Periodicos ,Youtube ,15,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,Menos de 6 meses ,Más de $550,5,4,3,2,1,Es muy importante ahorrar,A logros personales ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,muy importante ,Académico,Anthony Swag ,Gustavo Salinas ,Alex Mirton,Ivan Tapia ,viajando por el mundo ,No estoy de acuerdo ,Imparcial ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo 
Masculino,16,Dolores Sucre ,Guayaquil ,Ejercicios,Celular,Conocimientos,Total acuerdo,Indiferente,7,Necesarias,Instagram ,Popularidad,Celular ,Enciclopedias Virtuales,Youtube ,Spotify,Youtube ,Netflix ,13,Desarrollo de conocimiento ,Ambas,De 6 meses a un año de haberme graduado ,Un emprendedor ,Menos de 6 meses ,De $386 a $450,1,1,1,5,3,Es muy importante ahorrar,A logros académicos ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,importante,Tecnología,Geniodemente,Jose Gabriel ,Ivan Tapia ,Chai Ferragni,trabajando para ser un buen profesional,Imparcial ,Imparcial ,Poco de acuerdo ,Muy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo 
Femenino,16,San Jose La Salle ,Guayaquil ,Lectura,Tablet,Habilidades,Acuerdo,Acuerdo,9,Muy necesarias ,Instagram ,Popularidad,Ipad/tablet,Buscador,Netflix,Spotify,Facebook,Instagram ,9,Obligación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,De $386 a $450,1,5,3,2,2,Es muy importante ahorrar,Al factor económico ,$10.01 - $20,Seguro que sí,Si ,Tal vez por algo extra (Dinero),No lo haría,Es verdad,Poco importante ,comida,Gustavo Salinas ,Felipe Crespo ,Sebastian Villalobos ,German,viajando por el mundo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,De acuerdo,Muy de acuerdo 
Masculino,16,San Jose La Salle ,Guayaquil ,internet,Computadora,Conocimientos,Desacuerdo,Acuerdo,5,Necesarias,Instagram ,Distracción,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Youtube ,Noticias ,Youtube ,12,Desarrollo de conocimiento ,Solo estudiar ,de 1 a 2 años despues de haberme graduado,Un emprendedor ,De año y medio a 2 años ,Más de $550,3,2,4,5,1,definitivamente no es importante ahorrar,A logros personales ,$20.01 - $30,Seguro que sí,Si ,Puede ser a cambio de un producto ,Por el producto y algo de dinero ,Lo tomas en consideración ,muy importante ,moda ,Samara montero ,Jose Gabriel ,Luisito Comunica ,Ivan Tapia ,haciendo estudios de posgrado ,Poco de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Imparcial ,Muy de acuerdo ,Imparcial ,Imparcial
Masculino,16,Dolores Sucre ,Guayaquil ,Otros ,Televisón,Salud mental,Indiferente,Indiferente,8,Necesarias,Instagram ,Popularidad,Celular ,Video,Youtube ,Youtube ,Youtube ,Youtube ,5,Obligación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,Menos de 6 meses ,Más de $550,5,1,1,5,5,Es muy importante ahorrar,A logros académicos ,$10.01 - $20,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,muy importante ,moda ,Geniodemente,Logan y Logan ,Luisito Comunica ,Kimberly Loaiza ,viajando por el mundo ,De acuerdo,De acuerdo,Muy de acuerdo ,De acuerdo,Muy de acuerdo ,Imparcial ,No estoy de acuerdo 
Femenino,16,Unidad Educativa Clarentina ,Guayaquil ,Lectura,Celular,Salud mental,Indiferente,Total acuerdo,8,Muy necesarias ,Instagram ,Distracción,Celular ,Redes Sociales,Youtube ,Spotify,Google,Ver television ,15,Aspiración,Ambas,de 1 a 2 años despues de haberme graduado,Un emprendedor ,De un año a año y medio ,De $386 a $450,5,3,2,4,1,Es muy importante ahorrar,Al reconocimiento social ,$1 - $5,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,importante,deporte ,Enfrain Ruales,Felipe Crespo ,Aimee Sang,Sebastian Villalobos ,viajando por el mundo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Imparcial ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo 
Femenino,16,Nuevo Mundo ,Samborondon,Ejercicios,Tablet,Conocimientos,Acuerdo,Indiferente,6,Muy necesarias ,Instagram ,Distracción,Celular ,Buscador,Youtube ,Spotify,Google,Instagram ,13,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un empleado en una empresa familiar,Más de 2 años,De $451 a $550,1,1,1,1,1,No es importante porque hay que hacer compras necesarias en el presente,Al reconocimiento social ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Poco creíble,importante,Tecnología,Geniodemente,Samara montero ,Pautips ,Kimberly Loaiza ,trabajando para ser un buen profesional,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,De acuerdo
Masculino,16,La Moderna ,Samborondon,internet,Televisón,Habilidades,Acuerdo,Indiferente,6,Necesarias,Instagram ,Distracción,Celular ,Video,Youtube ,Spotify,Google,Netflix ,11,Dinero,Solo estudiar ,Al pasar más de 3 años de haberme graduado,Un empleado en una empresa familiar,Menos de 6 meses ,Más de $550,1,5,5,3,5,definitivamente no es importante ahorrar,Al factor económico ,$20.01 - $30,Seguro que no ,No ,No estaría dispuesto,No lo haría,Poco creíble,Poco importante ,deporte ,Geniodemente,Quecomersambo,Alex Mirton,Pautips ,viajando por el mundo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Poco de acuerdo ,Poco de acuerdo ,Imparcial ,Imparcial
Masculino,16,Aguirre Abad ,Guayaquil ,Lectura,Computadora,Conocimientos,Indiferente,Indiferente,10,Necesarias,Facebook,Distracción,Celular ,Enciclopedias Virtuales,Youtube ,Youtube ,Google,Instagram ,13,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,Más de 2 años,De $386 a $450,3,2,2,3,1,Es muy importante ahorrar,Al reconocimiento social ,$1 - $5,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y algo de dinero ,Lo tomas en consideración ,importante,Tecnología,Flor Maria Palomeque ,Geniodemente,Luisito Comunica ,Yuya ,trabajando para ser un buen profesional,Imparcial ,De acuerdo,Imparcial ,Imparcial ,Imparcial ,De acuerdo,Imparcial
Masculino,17,Liceo Albino,Guayaquil ,internet,Televisón,Actitud,Desacuerdo,Total acuerdo,7,Necesarias,Facebook,Distracción,Celular ,Video,Youtube ,Youtube ,Google,Netflix ,13,Estatus y poder,Solo trabajar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De un año a año y medio ,De $386 a $450,3,2,4,5,1,Es importante pero hay que pensar también en el presente,Al factor económico ,$5.01 - $10 ,Seguro que sí,Si ,Puede ser a cambio de un producto ,Por el producto y algo de dinero ,Lo tomas en consideración ,importante,Académico,Geniodemente,Enfrain Ruales,Ivan Tapia ,Juan de Dios Pantoja,trabajando para ser un buen profesional,Imparcial ,De acuerdo,De acuerdo,Muy de acuerdo ,De acuerdo,Imparcial ,Poco de acuerdo 
